,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
295491,16/8/2022,13:00:00,13:15:00,LineaC,LineaC_Constitucion_Turn17,Constitucion,104,0,1,105
570100,30/8/2022,18:15:00,18:30:00,LineaB,LineaB_Tronador_Turn03,Tronador,28,0,0,28
291212,16/8/2022,09:30:00,09:45:00,LineaB,LineaB_Dorrego_N_Turn04,Dorrego,24,0,1,25
281893,15/8/2022,17:30:00,17:45:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,38,0,1,39
463752,25/8/2022,08:15:00,08:30:00,LineaB,LineaB_Alem_N_Turn01,Leandro N. Alem,2,0,2,4
383367,20/8/2022,21:45:00,22:00:00,LineaB,LineaB_Lacroze_O_Turn03,Federico Lacroze,2,0,0,2
206910,11/8/2022,13:15:00,13:30:00,LineaC,LineaC_Constitucion_Turn12,Constitucion,13,0,0,13
251079,13/8/2022,17:15:00,17:30:00,LineaA,LineaA_Miserere_S_Turn03,Plaza Miserere,12,0,2,14
547865,29/8/2022,16:30:00,16:45:00,LineaB,LineaB_Pueyr_N_Turn01,Pueyrredon,31,0,0,31
507691,27/8/2022,12:00:00,12:15:00,LineaA,LineaA_PMayo_E_Turn01,Plaza de Mayo,18,0,2,20
457859,24/8/2022,20:30:00,20:45:00,LineaB,LineaB_Lacroze_O_Turn06,Federico Lacroze,5,0,1,6
397699,21/8/2022,20:30:00,20:45:00,LineaC,LineaC_Constitucion_Turn22,Constitucion,33,0,0,33
494107,26/8/2022,16:45:00,17:00:00,LineaA,LineaA_Puan_O_Turn01,Puan,39,0,0,39
30199,2/8/2022,13:45:00,14:00:00,LineaB,LineaB_Lacroze_S_Turn03,Federico Lacroze,3,0,0,3
410292,22/8/2022,15:00:00,15:15:00,LineaB,LineaB_Pasteur_S_Turn02,Pasteur,52,0,0,52
403680,22/8/2022,09:15:00,09:30:00,LineaC,LineaC_Constitucion_Turn15,Constitucion,163,0,1,164
560142,30/8/2022,09:45:00,10:00:00,LineaA,LineaA_PJunta_S_Turn04,Primera Junta,26,0,0,26
54480,3/8/2022,16:45:00,17:00:00,LineaC,LineaC_SanMartin_S_Turn01,General San Martin,2,0,0,2
584584,31/8/2022,13:15:00,13:30:00,LineaB,LineaB_Lacroze_E_Turn08,Federico Lacroze,0,1,1,2
225469,12/8/2022,11:45:00,12:00:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,36,0,1,37
222477,12/8/2022,09:00:00,09:15:00,LineaC,LineaC_Moreno_N_Turn03,Mariano Moreno,3,0,0,3
16173,1/8/2022,19:00:00,19:15:00,LineaB,LineaB_LosIncas_Turn06,Los Incas,0,0,1,1
49722,3/8/2022,12:45:00,13:00:00,LineaA,LineaA_PJunta_S_Turn02,Primera Junta,33,0,1,34
127962,7/8/2022,14:15:00,14:30:00,LineaB,LineaB_Medrano_N_Turn01,Medrano,16,0,0,16
342978,18/8/2022,20:30:00,20:45:00,LineaB,LineaB_Florida_O_Turn01,Florida,20,0,0,20
379503,20/8/2022,18:00:00,18:15:00,LineaA,LineaA_CBarros_N_Turn01,Castro Barros,16,0,0,16
439241,23/8/2022,22:15:00,22:30:00,LineaB,LineaB_Pueyr_N_Turn03,Pueyrredon,1,0,0,1
166949,9/8/2022,14:15:00,14:30:00,LineaC,LineaC_Indepen_Turn03,Independencia,30,0,1,31
114394,6/8/2022,16:30:00,16:45:00,LineaC,LineaC_SanJuan_Turn02,San Juan,13,0,0,13
